Begin.Date,Begin.Time,End.Date,End.Time,Alarm.Tag,Alarm.Id,X,Alarm.Type,Alarm.Priority,Description
3/12/2016,10:05:29,3/12/2016,10:05:55,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:05:46,3/12/2016,10:05:55,AlarmRateRamp|10467,Q3,AlarmRateRamp|10467Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:05:57,3/12/2016,10:07:30,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,ALARM,N/A,Limit Signal 1
3/12/2016,10:06:13,3/12/2016,10:07:30,AlarmRateRamp|10468,Q4,AlarmRateRamp|10468Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:06:30,3/12/2016,10:07:30,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,WARNING,N/A,Limit Signal 3
3/12/2016,10:06:47,3/12/2016,10:07:30,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:07:05,3/12/2016,10:07:30,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:07:21,3/12/2016,10:07:30,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:07:32,3/12/2016,10:09:01,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
3/12/2016,10:07:47,3/12/2016,10:09:01,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:08:04,3/12/2016,10:09:01,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 3
3/12/2016,10:08:20,3/12/2016,10:09:01,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:08:37,3/12/2016,10:09:01,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:08:53,3/12/2016,10:09:01,BSMON10011,XA01,BSMON10011XA01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:09:03,3/12/2016,10:10:29,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,ALARM,N/A,Limit Signal 1
3/12/2016,10:09:18,3/12/2016,10:10:29,BSMON10012,XA02,BSMON10012XA02,WARNING,N/A,Limit Signal 2
3/12/2016,10:09:34,3/12/2016,10:10:29,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,WARNING,N/A,Limit Signal 3
3/12/2016,10:09:50,3/12/2016,10:10:29,ASMON10017,XM23,ASMON10017XM23,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:10:05,3/12/2016,10:10:29,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:10:21,3/12/2016,10:10:29,ASMON10009,XQ01,ASMON10009XQ01,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:10:31,3/12/2016,10:11:54,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
3/12/2016,10:10:45,3/12/2016,10:11:54,ASMON10005,XH03,ASMON10005XH03,WARNING,N/A,Limit Signal 2
3/12/2016,10:11:01,3/12/2016,10:11:54,AlarmRateRamp|10356,Q2,AlarmRateRamp|10356Q2,WARNING,N/A,Limit Signal 3
3/12/2016,10:11:16,3/12/2016,10:11:54,ASMON10006,XH04,ASMON10006XH04,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:11:31,3/12/2016,10:11:54,AlarmRateRamp|10356,Q3,AlarmRateRamp|10356Q3,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:11:46,3/12/2016,10:11:54,ASMON10007,XH05,ASMON10007XH05,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:11:56,3/12/2016,10:13:17,AlarmRateRamp|10356,Q4,AlarmRateRamp|10356Q4,ALARM,N/A,Limit Signal 1
3/12/2016,10:12:10,3/12/2016,10:13:17,ASMON10008,XH06,ASMON10008XH06,WARNING,N/A,Limit Signal 2
3/12/2016,10:12:25,3/12/2016,10:13:17,AlarmRateRamp|10356,Q5,AlarmRateRamp|10356Q5,WARNING,N/A,Limit Signal 3
3/12/2016,10:12:39,3/12/2016,10:13:17,ASMON10009,XH07,ASMON10009XH07,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:12:54,3/12/2016,10:13:17,AlarmRateRamp|10356,Q6,AlarmRateRamp|10356Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:13:09,3/12/2016,10:13:17,ASMON10010,XH08,ASMON10010XH08,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:13:19,3/12/2016,10:14:37,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,ALARM,N/A,Limit Signal 1
3/12/2016,10:13:32,3/12/2016,10:14:37,ASMON10011,XH09,ASMON10011XH09,WARNING,N/A,Limit Signal 2
3/12/2016,10:13:47,3/12/2016,10:14:37,BSMON10007,XH52,BSMON10007XH52,WARNING,N/A,Limit Signal 3
3/12/2016,10:14:01,3/12/2016,10:14:37,ASMON10012,XH10,ASMON10012XH10,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:14:15,3/12/2016,10:14:37,BSMON10008,XM23,BSMON10008XM23,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:14:30,3/12/2016,10:14:37,ASMON10013,XH11,ASMON10013XH11,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:14:39,3/12/2016,10:15:55,BSMON10009,XQ01,BSMON10009XQ01,ALARM,N/A,Limit Signal 1
3/12/2016,10:14:52,3/12/2016,10:15:55,ASMON10014,XH12,ASMON10014XH12,WARNING,N/A,Limit Signal 2
3/12/2016,10:15:06,3/12/2016,10:15:55,BSMON10010,XA00_HW,BSMON10010XA00_HW,WARNING,N/A,Limit Signal 3
3/12/2016,10:15:20,3/12/2016,10:15:55,ASMON10015,XH13,ASMON10015XH13,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:15:34,3/12/2016,10:15:55,BSMON10011,XA01,BSMON10011XA01,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:15:48,3/12/2016,10:15:55,ASMON10016,XH14,ASMON10016XH14,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:15:57,3/12/2016,10:17:11,BSMON10012,XA02,BSMON10012XA02,ALARM,N/A,Limit Signal 1
3/12/2016,10:16:09,3/12/2016,10:17:11,ASMON10017,XH15,ASMON10017XH15,WARNING,N/A,Limit Signal 2
3/12/2016,10:16:23,3/12/2016,10:17:11,BSMON10013,XH01,BSMON10013XH01,WARNING,N/A,Limit Signal 3
3/12/2016,10:16:37,3/12/2016,10:17:11,ASMON10018,XH16,ASMON10018XH16,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:16:50,3/12/2016,10:17:11,BSMON10014,XH03,BSMON10014XH03,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:17:04,3/12/2016,10:17:11,ASMON10019,XH17,ASMON10019XH17,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:17:13,3/12/2016,10:18:25,BSMON10001,XA00_HW,BSMON10001XA00_HW,ALARM,N/A,Limit Signal 1
3/12/2016,10:17:25,3/12/2016,10:18:25,ASMON10020,XH18,ASMON10020XH18,WARNING,N/A,Limit Signal 2
3/12/2016,10:17:38,3/12/2016,10:18:25,BSMON10016,XH52,BSMON10016XH52,WARNING,N/A,Limit Signal 3
3/12/2016,10:17:52,3/12/2016,10:18:25,ASMON10021,XH19,ASMON10021XH19,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:18:05,3/12/2016,10:18:25,BSMON10017,XM23,BSMON10017XM23,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:18:18,3/12/2016,10:18:25,ASMON10022,Q6,ASMON10022Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:18:27,3/12/2016,10:19:37,BSMON10018,XQ01,BSMON10018XQ01,ALARM,N/A,Limit Signal 1
3/12/2016,10:18:39,3/12/2016,10:19:37,AlarmRateRamp|10356,Q1,AlarmRateRamp|10356Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:18:52,3/12/2016,10:19:37,AlarmRateRamp|10357,XA00_HW,AlarmRateRamp|10357XA00_HW,WARNING,N/A,Limit Signal 3
3/12/2016,10:19:05,3/12/2016,10:19:37,AlarmRateRamp|10358,Q2,AlarmRateRamp|10358Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:19:18,3/12/2016,10:19:37,AlarmRateRamp|10359,XA01,AlarmRateRamp|10359XA01,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:19:31,3/12/2016,10:19:37,AlarmRateRamp|10360,Q3,AlarmRateRamp|10360Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:19:39,3/12/2016,10:20:48,AlarmRateRamp|10361,XA00_HW,AlarmRateRamp|10361XA00_HW,ALARM,N/A,Limit Signal 1
3/12/2016,10:19:50,3/12/2016,10:20:48,AlarmRateRamp|10362,Q4,AlarmRateRamp|10362Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:20:03,3/12/2016,10:20:48,AlarmRateRamp|10363,XA00_HW,AlarmRateRamp|10363XA00_HW,WARNING,N/A,Limit Signal 3
3/12/2016,10:20:16,3/12/2016,10:20:48,AlarmRateRamp|10364,Q5,AlarmRateRamp|10364Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:20:28,3/12/2016,10:20:48,AlarmRateRamp|10365,XH03,AlarmRateRamp|10365XH03,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:20:41,3/12/2016,10:20:48,AlarmRateRamp|10366,Q6,AlarmRateRamp|10366Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:20:50,3/12/2016,10:21:57,AlarmRateRamp|10367,XH05,AlarmRateRamp|10367XH05,ALARM,N/A,Limit Signal 1
3/12/2016,10:21:01,3/12/2016,10:21:57,AlarmRateRamp|10368,Q1,AlarmRateRamp|10368Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:21:14,3/12/2016,10:21:57,AlarmRateRamp|10369,XA00_HW,AlarmRateRamp|10369XA00_HW,WARNING,N/A,Limit Signal 3
3/12/2016,10:21:26,3/12/2016,10:21:57,AlarmRateRamp|10370,Q2,AlarmRateRamp|10370Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:21:38,3/12/2016,10:21:57,AlarmRateRamp|10371,XM23,AlarmRateRamp|10371XM23,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:21:51,3/12/2016,10:21:57,AlarmRateRamp|10372,Q3,AlarmRateRamp|10372Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:21:59,3/12/2016,10:23:05,AlarmRateRamp|10373,XQ01,AlarmRateRamp|10373XQ01,ALARM,N/A,Limit Signal 1
3/12/2016,10:22:10,3/12/2016,10:23:05,AlarmRateRamp|10374,Q4,AlarmRateRamp|10374Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:22:22,3/12/2016,10:23:05,AlarmRateRamp|10375,XA00_HW,AlarmRateRamp|10375XA00_HW,WARNING,N/A,Limit Signal 3
3/12/2016,10:22:34,3/12/2016,10:23:05,AlarmRateRamp|10376,Q5,AlarmRateRamp|10376Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:22:46,3/12/2016,10:23:05,AlarmRateRamp|10377,Q6,AlarmRateRamp|10377Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:22:58,3/12/2016,10:23:05,AlarmRateRamp|10378,Q6,AlarmRateRamp|10378Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:23:07,3/12/2016,10:24:12,AlarmRateRamp|10379,Q1,AlarmRateRamp|10379Q1,ALARM,N/A,Limit Signal 1
3/12/2016,10:23:18,3/12/2016,10:24:12,AlarmRateRamp|10380,Q1,AlarmRateRamp|10380Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:23:29,3/12/2016,10:24:12,AlarmRateRamp|10381,Q2,AlarmRateRamp|10381Q2,WARNING,N/A,Limit Signal 3
3/12/2016,10:23:41,3/12/2016,10:24:12,AlarmRateRamp|10382,Q2,AlarmRateRamp|10382Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:23:53,3/12/2016,10:24:12,AlarmRateRamp|10383,Q3,AlarmRateRamp|10383Q3,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:24:05,3/12/2016,10:24:12,AlarmRateRamp|10384,Q3,AlarmRateRamp|10384Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:24:14,3/12/2016,10:25:17,AlarmRateRamp|10385,Q4,AlarmRateRamp|10385Q4,ALARM,N/A,Limit Signal 1
3/12/2016,10:24:24,3/12/2016,10:25:17,AlarmRateRamp|10386,Q4,AlarmRateRamp|10386Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:24:36,3/12/2016,10:25:17,AlarmRateRamp|10387,Q5,AlarmRateRamp|10387Q5,WARNING,N/A,Limit Signal 3
3/12/2016,10:24:48,3/12/2016,10:25:17,AlarmRateRamp|10388,Q5,AlarmRateRamp|10388Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:24:59,3/12/2016,10:25:17,AlarmRateRamp|10389,Q6,AlarmRateRamp|10389Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:25:11,3/12/2016,10:25:17,AlarmRateRamp|10390,Q6,AlarmRateRamp|10390Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:25:19,3/12/2016,10:26:21,AlarmRateRamp|10391,Q1,AlarmRateRamp|10391Q1,ALARM,N/A,Limit Signal 1
3/12/2016,10:25:29,3/12/2016,10:26:21,AlarmRateRamp|10392,Q1,AlarmRateRamp|10392Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:25:41,3/12/2016,10:26:21,AlarmRateRamp|10393,Q2,AlarmRateRamp|10393Q2,WARNING,N/A,Limit Signal 3
3/12/2016,10:25:52,3/12/2016,10:26:21,AlarmRateRamp|10394,Q2,AlarmRateRamp|10394Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:26:03,3/12/2016,10:26:21,AlarmRateRamp|10395,Q3,AlarmRateRamp|10395Q3,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:26:15,3/12/2016,10:26:21,AlarmRateRamp|10396,Q3,AlarmRateRamp|10396Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:26:23,3/12/2016,10:27:24,AlarmRateRamp|10397,Q4,AlarmRateRamp|10397Q4,ALARM,N/A,Limit Signal 1
3/12/2016,10:26:33,3/12/2016,10:27:24,AlarmRateRamp|10398,Q4,AlarmRateRamp|10398Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:26:44,3/12/2016,10:27:24,AlarmRateRamp|10399,Q5,AlarmRateRamp|10399Q5,WARNING,N/A,Limit Signal 3
3/12/2016,10:26:55,3/12/2016,10:27:24,AlarmRateRamp|10400,Q5,AlarmRateRamp|10400Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:27:07,3/12/2016,10:27:24,AlarmRateRamp|10401,Q6,AlarmRateRamp|10401Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:27:18,3/12/2016,10:27:24,AlarmRateRamp|10402,Q6,AlarmRateRamp|10402Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:27:26,3/12/2016,10:28:26,AlarmRateRamp|10403,Q1,AlarmRateRamp|10403Q1,ALARM,N/A,Limit Signal 1
3/12/2016,10:27:36,3/12/2016,10:28:26,AlarmRateRamp|10404,Q1,AlarmRateRamp|10404Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:27:47,3/12/2016,10:28:26,AlarmRateRamp|10405,Q2,AlarmRateRamp|10405Q2,WARNING,N/A,Limit Signal 3
3/12/2016,10:27:58,3/12/2016,10:28:26,AlarmRateRamp|10406,Q2,AlarmRateRamp|10406Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:28:09,3/12/2016,10:28:26,AlarmRateRamp|10407,Q3,AlarmRateRamp|10407Q3,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:28:20,3/12/2016,10:28:26,AlarmRateRamp|10408,Q3,AlarmRateRamp|10408Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:28:27,3/12/2016,10:29:27,AlarmRateRamp|10409,Q4,AlarmRateRamp|10409Q4,ALARM,N/A,Limit Signal 1
3/12/2016,10:28:37,3/12/2016,10:29:27,AlarmRateRamp|10410,Q4,AlarmRateRamp|10410Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:28:48,3/12/2016,10:29:27,AlarmRateRamp|10411,Q5,AlarmRateRamp|10411Q5,WARNING,N/A,Limit Signal 3
3/12/2016,10:28:59,3/12/2016,10:29:27,AlarmRateRamp|10412,Q5,AlarmRateRamp|10412Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:29:10,3/12/2016,10:29:27,AlarmRateRamp|10413,Q6,AlarmRateRamp|10413Q6,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:29:21,3/12/2016,10:29:27,AlarmRateRamp|10414,Q6,AlarmRateRamp|10414Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:29:28,3/12/2016,10:30:27,AlarmRateRamp|10415,Q1,AlarmRateRamp|10415Q1,ALARM,N/A,Limit Signal 1
3/12/2016,10:29:38,3/12/2016,10:30:27,AlarmRateRamp|10416,Q1,AlarmRateRamp|10416Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:29:49,3/12/2016,10:30:27,AlarmRateRamp|10417,Q2,AlarmRateRamp|10417Q2,WARNING,N/A,Limit Signal 3
3/12/2016,10:30:00,3/12/2016,10:30:27,AlarmRateRamp|10418,Q2,AlarmRateRamp|10418Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:30:10,3/12/2016,10:30:27,AlarmRateRamp|10419,Q3,AlarmRateRamp|10419Q3,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:30:21,3/12/2016,10:30:27,AlarmRateRamp|10420,Q3,AlarmRateRamp|10420Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:30:28,3/12/2016,10:31:26,AlarmRateRamp|10421,XH02,AlarmRateRamp|10421XH02,ALARM,N/A,Limit Signal 1
3/12/2016,10:30:38,3/12/2016,10:31:26,AlarmRateRamp|10422,Q4,AlarmRateRamp|10422Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:30:49,3/12/2016,10:31:26,AlarmRateRamp|10423,XH03,AlarmRateRamp|10423XH03,WARNING,N/A,Limit Signal 3
3/12/2016,10:30:59,3/12/2016,10:31:26,AlarmRateRamp|10424,Q5,AlarmRateRamp|10424Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:31:10,3/12/2016,10:31:26,AlarmRateRamp|10425,XH04,AlarmRateRamp|10425XH04,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:31:20,3/12/2016,10:31:26,AlarmRateRamp|10426,Q6,AlarmRateRamp|10426Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:31:27,3/12/2016,10:32:24,AlarmRateRamp|10427,XH05,AlarmRateRamp|10427XH05,ALARM,N/A,Limit Signal 1
3/12/2016,10:31:37,3/12/2016,10:32:24,AlarmRateRamp|10428,Q1,AlarmRateRamp|10428Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:31:47,3/12/2016,10:32:24,AlarmRateRamp|10429,XH06,AlarmRateRamp|10429XH06,WARNING,N/A,Limit Signal 3
3/12/2016,10:31:58,3/12/2016,10:32:24,AlarmRateRamp|10430,Q2,AlarmRateRamp|10430Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:32:08,3/12/2016,10:32:24,AlarmRateRamp|10431,XH07,AlarmRateRamp|10431XH07,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:32:18,3/12/2016,10:32:24,AlarmRateRamp|10432,Q3,AlarmRateRamp|10432Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:32:25,3/12/2016,10:33:21,AlarmRateRamp|10433,XH08,AlarmRateRamp|10433XH08,ALARM,N/A,Limit Signal 1
3/12/2016,10:32:35,3/12/2016,10:33:21,AlarmRateRamp|10434,Q4,AlarmRateRamp|10434Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:32:45,3/12/2016,10:33:21,AlarmRateRamp|10435,XH09,AlarmRateRamp|10435XH09,WARNING,N/A,Limit Signal 3
3/12/2016,10:32:55,3/12/2016,10:33:21,AlarmRateRamp|10436,Q5,AlarmRateRamp|10436Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:33:05,3/12/2016,10:33:21,AlarmRateRamp|10437,XH10,AlarmRateRamp|10437XH10,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:33:16,3/12/2016,10:33:21,AlarmRateRamp|10438,Q6,AlarmRateRamp|10438Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:33:22,3/12/2016,10:34:17,AlarmRateRamp|10439,XH11,AlarmRateRamp|10439XH11,ALARM,N/A,Limit Signal 1
3/12/2016,10:33:32,3/12/2016,10:34:17,AlarmRateRamp|10440,Q1,AlarmRateRamp|10440Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:33:42,3/12/2016,10:34:17,AlarmRateRamp|10441,XH12,AlarmRateRamp|10441XH12,WARNING,N/A,Limit Signal 3
3/12/2016,10:33:52,3/12/2016,10:34:17,AlarmRateRamp|10442,Q2,AlarmRateRamp|10442Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:34:02,3/12/2016,10:34:17,AlarmRateRamp|10443,XH13,AlarmRateRamp|10443XH13,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:34:12,3/12/2016,10:34:17,AlarmRateRamp|10444,Q3,AlarmRateRamp|10444Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:34:18,3/12/2016,10:35:13,AlarmRateRamp|10445,XH14,AlarmRateRamp|10445XH14,ALARM,N/A,Limit Signal 1
3/12/2016,10:34:27,3/12/2016,10:35:13,AlarmRateRamp|10446,Q4,AlarmRateRamp|10446Q4,WARNING,N/A,Limit Signal 2
3/12/2016,10:34:37,3/12/2016,10:35:13,AlarmRateRamp|10447,XH15,AlarmRateRamp|10447XH15,WARNING,N/A,Limit Signal 3
3/12/2016,10:34:47,3/12/2016,10:35:13,AlarmRateRamp|10448,Q5,AlarmRateRamp|10448Q5,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:34:57,3/12/2016,10:35:13,AlarmRateRamp|10449,XH16,AlarmRateRamp|10449XH16,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:35:07,3/12/2016,10:35:13,AlarmRateRamp|10450,Q6,AlarmRateRamp|10450Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:35:14,3/12/2016,10:36:08,AlarmRateRamp|10451,XH17,AlarmRateRamp|10451XH17,ALARM,N/A,Limit Signal 1
3/12/2016,10:35:23,3/12/2016,10:36:08,AlarmRateRamp|10452,Q1,AlarmRateRamp|10452Q1,WARNING,N/A,Limit Signal 2
3/12/2016,10:35:33,3/12/2016,10:36:08,AlarmRateRamp|10453,Q2,AlarmRateRamp|10453Q2,WARNING,N/A,Limit Signal 3
3/12/2016,10:35:43,3/12/2016,10:36:08,AlarmRateRamp|10454,Q2,AlarmRateRamp|10454Q2,TOLERANCE,N/A,Limit Signal 4
3/12/2016,10:35:53,3/12/2016,10:36:08,AlarmRateRamp|10455,Q3,AlarmRateRamp|10455Q3,I&C ALARM,N/A,Limit Signal 5
3/12/2016,10:36:02,3/12/2016,10:36:08,AlarmRateRamp|10456,Q3,AlarmRateRamp|10456Q3,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
3/12/2016,10:36:09,3/12/2016,10:37:02,AlarmRateRamp|10457,Q4,AlarmRateRamp|10457Q4,ALARM,N/A,Limit Signal 1
